codeIataAirport,airportName,codeIataCity,latitudeAirport,longitudeAirport,timezone,airportCity
EDF,Elmendorf AFB,ANC,61.250557,-149.78473,America/Anchorage,Anchorage
MRI,Merrill Field,ANC,61.233334,-149.9,America/Anchorage,Anchorage
AND,Anderson,AND,34.49361,-82.71,America/New_York,Anderson
ANI,Aniak,ANI,61.574398,-159.53697,America/Anchorage,Aniak
ANN,Annette Island,ANN,55.036945,-131.57056,America/Metlakatla,Annette Island
ANP,Lee,ANP,38.983334,-76.5,America/New_York,Annapolis
ANQ,Tri-State Steuben County,ANQ,41.63333,-85,America/Indiana/Indianapolis,Angola
ANV,Anvik,ANV,62.647778,-160.18889,America/Anchorage,Anvik
ANW,Ainsworth,ANW,42.55,-99.86667,America/Chicago,Ainsworth
ANY,Anthony,ANY,37.15,-98.03333,America/Chicago,Anthony
AOH,Allen County,AOH,40.766666,-84.1,America/New_York,Lima
AOO,Martinsburg,AOO,40.297222,-78.32,America/New_York,Martinsburg
AOS,Amook,AOS,57.466667,-153.83333,America/Anchorage,Amook
APA,Arapahoe Co,DEN,39.733334,-104.98333,America/Denver,Denver
BFK,Buffalo Municipal Airport,DEN,39.733334,-104.86667,America/Denver,Denver
DEN,Denver International,DEN,39.84939,-104.672844,America/Denver,Denver
QWM,Longmont Bus Station,DEN,39.7391536,-104.9847034,America/Denver,Denver
APC,Napa County,APC,38.212223,-122.28,America/Los_Angeles,Napa
APF,Naples,APF,26.152779,-81.775276,America/New_York,Naples
APG,Phillips AAF,APG,39.5,-76.166664,America/New_York,Aberdeen
APH,Camp A P Hill,APH,38.05,-77.35,America/New_York,Bowling Green
APN,Alpena County Regional,APN,45.08167,-83.55583,America/Detroit,Alpena
APT,Marion County,APT,35.066666,-85.5,America/Chicago,Jasper
APV,Apple Valley,APV,34.52639,-117.212776,America/Los_Angeles,Apple Valley
AQY,Alyeska,AQY,60.966667,-149.11667,America/Anchorage,Alyeska
ARA,Acadiana Regional,ARA,30.037779,-91.88389,America/Chicago,New Iberia
ARB,Municipal,ARB,42.3,-83.75,America/Detroit,Ann Arbor
ARC,Arctic Village,ARC,68.1375,-145.52444,America/Anchorage,Arctic Village
ARG,Walnut Ridge,ARG,36.066666,-90.95,America/Chicago,Walnut Ridge
ART,Watertown,ART,43.990833,-76.021385,America/New_York,Watertown
ARV,Noble F. Lee,ARV,45.924168,-89.73222,America/Chicago,Minocqua
ASE,Aspen,ASE,39.219685,-106.864685,America/Denver,Aspen
ASH,Boire Field,ASH,42.77889,-71.509445,America/New_York,Nashua
ASL,Harrison County,ASL,32.55,-94.38333,America/Chicago,Marshall
ASN,Talladega,ASN,33.433334,-86.1,America/Chicago,Talladega
ASQ,Austin,ASQ,39.466667,-117.166664,America/Los_Angeles,Austin
AST,Astoria,AST,46.15972,-123.88,America/Los_Angeles,Astoria
ASX,Ashland,ASX,46.55,-90.916664,America/Chicago,Ashland
ASY,Ashley,ASY,46.033333,-99.36667,America/Chicago,Ashley
ATE,Antlers,ATE,34.233334,-95.61667,America/Chicago,Antlers
ATK,Atqasuk,ATK,70.5,-157.33333,America/Anchorage,Atqasuk
ATL,Hartsfield-jackson Atlanta International,ATL,33.640068,-84.44403,America/New_York,Atlanta
FTY,Fulton County,ATL,33.783333,-84.51667,America/New_York,Atlanta
JAE,Technology Park,ATL,33.638058,-84.424446,America/New_York,Atlanta
JAJ,Perimeter Mall,ATL,33.635277,-84.42167,America/New_York,Atlanta
JAO,Beaver Ruin,ATL,33.64639,-84.43278,America/New_York,Atlanta
JGL,Galleria Heliport,ATL,33.886112,-84.46694,America/New_York,Atlanta
PDK,Dekalb-Peachtree,ATL,33.88333,-84.25,America/New_York,Atlanta
ATO,Ohio University,ATO,39.333332,-82.1,America/New_York,Athens
ATS,Artesia,ATS,32.84833,-104.46694,America/Denver,Artesia
ATT,Atmautluak,ATT,60.866943,-162.2675,America/Nome,Atmautluak
ATW,Outagamie County,ATW,44.26011,-88.50994,America/Chicago,Appleton
ATY,Watertown,ATY,44.90889,-97.15417,America/Chicago,Watertown
AUG,Augusta,AUG,44.318054,-69.79667,America/New_York,Augusta
AUK,Alakanuk,AUK,62.689167,-164.61084,America/Nome,Alakanuk
AUM,Austin,AUM,43.666668,-92.98333,America/Chicago,Austin
AUN,Auburn,AUN,38.9,-121.066666,America/Los_Angeles,Auburn
AUO,Auburn-Opelika,AUO,32.63333,-85.5,America/Chicago,Auburn
AUS,Austin-bergstrom International,AUS,30.202545,-97.66706,America/Chicago,Austin
MMR,Camp Maybry AHP,AUS,30.283333,-97.75,America/Chicago,Austin
AUW,Municipal,AUW,44.923332,-89.623055,America/Chicago,Wausau
CWA,Central Wisconsin,AUW,44.78421,-89.67244,America/Chicago,Wausau
AUZ,Municipal Airport,AUZ,41.75,-88.316666,America/Chicago,Aurora
AVL,Asheville Regional Airport,AVL,35.43508,-82.537315,America/New_York,Fletcher
AVO,Municipal,AVO,27.6,-81.51667,America/New_York,Avon Park
AVP,Wilkes-Barre/Scranton International Airport,AVP,41.336697,-75.730644,America/New_York,Wilkes-Barre
WBW,Wilkes-Barre/Wyoming Valley,AVP,41.233334,-75.88333,America/New_York,Wilkes-Barre
AVW,Avra Valley,TUS,32.416668,-111.21667,America/Phoenix,Tucson
DMA,Davis Monthan AFB,TUS,32.166668,-110.88333,America/Phoenix,Tucson
TUS,Tucson International Airport,TUS,32.12069,-110.93737,America/Phoenix,Tucson
AVX,Avalon Bay,AVX,33.341667,-118.31528,America/Los_Angeles,Avalon
CIB,Ap In The Sky,AVX,33.406113,-118.41389,America/Los_Angeles,Avalon
SXC,Avalo Vor/WP,AVX,33.5,-118.416664,America/Los_Angeles,Avalon
TWH,Two Harbors,AVX,33.425,-118.50833,America/Los_Angeles,Avalon
AWM,Municipal,AWM,35.13333,-90.183334,America/Chicago,West Memphis
AXB,Alexandria Bay,AXB,44.2525,-75.90139,America/New_York,Alexandria Bay
AXG,Algona,AXG,43.066666,-94.23333,America/Chicago,Algona
AXN,Alexandria,AXN,45.86722,-95.394165,America/Chicago,Alexandria
AXS,Municipal,LTS,34.696667,-99.33806,America/Chicago,Altus
LTS,Altus AFB,LTS,34.696667,-99.33806,America/Chicago,Altus
AXV,Neil Armstrong,AXV,40.566666,-84.2,America/New_York,Wapakoneta
AXX,Angel Fire,AXX,36.416668,-105.28333,America/Denver,Angel Fire
AYS,Ware County,AYS,31.248611,-82.39667,America/New_York,Waycross
AZA,Williams Gateway,PHX,33.307777,-111.655556,America/Phoenix,Phoenix
DVT,Phoenix Deer Valley Airport,PHX,33.683887,-112.083336,America/Phoenix,Phoenix
LUF,Luke AFB,PHX,33.61667,-111.916664,America/Phoenix,Phoenix
PHX,Sky Harbor International,PHX,33.435036,-112.00016,America/Phoenix,Phoenix
SCF,Scottsdale Municipalcipal,PHX,33.61667,-111.916664,America/Phoenix,Phoenix
AZO,Kalamazoo/Battle Creek International,AZO,42.239964,-85.55656,America/Detroit,Kalamazoo
BAB,Beale AFB,MYV,39.15,-121.583336,America/Los_Angeles,Marysville
MYV,Yuba County,MYV,39.098057,-121.569725,America/Los_Angeles,Marysville
BAD,Barksdale AFB,SHV,32.5,-93.666664,America/Chicago,Shreveport
DTN,Shreveport Downtown,SHV,32.539722,-93.744446,America/Chicago,Shreveport
SHV,Regional,SHV,32.45471,-93.828384,America/Chicago,Shreveport
BAF,Barnes,BAF,42.13333,-72.75,America/New_York,Westfield
BAM,Lander County,BAM,40.63333,-116.933334,America/Los_Angeles,Battle Mountain
BAR,Baker AAF,BAR,55.333332,-133.6,America/Sitka,Baker Island
BBB,Municipal,BBB,45.316666,-95.6,America/Chicago,Benson
BBC,Bay City,BBC,28.983334,-95.96667,America/Chicago,Bay City
BBD,Curtis Field,BBD,31.133333,-99.333336,America/Chicago,Brady
BBF,Burlington,BBF,42.5,-71.183334,America/New_York,Burlington
BBW,Broken Bow,BBW,41.4,-99.63333,America/Chicago,Broken Bow
BBX,Wings Field,BBX,40.136665,-75.2675,America/New_York,Blue Bell
BCB,Virginia Tech,BCB,37.233334,-80.416664,America/New_York,Blacksburg
BCC,Bear Creek,BCC,45.183334,-109.1,America/Anchorage,Bear Creek
BCE,Bryce,BCE,37.70111,-112.13528,America/Denver,Bryce
BCS,Southern Seaplane,BCS,29.966667,-90,America/Chicago,Belle Chasse
BCT,Public,BCT,26.35,-80.083336,America/New_York,Boca Raton
BDE,Baudette,BDE,48.72278,-94.60694,America/Chicago,Baudette
BDF,Rinkenberger,BDF,41.183334,-89.65,America/Chicago,Bradford
BDG,Blanding,BDG,37.61667,-109.48333,America/Denver,Blanding
BDL,Bradley International,BDL,41.92953,-72.6847,America/New_York,Windsor Locks
BDR,Igor I. Sikorsky Memorial,BDR,41.164165,-73.12444,America/New_York,Bridgeport
BDX,Broadus,BDX,45.466667,-105.36667,America/Denver,Broadus
BDY,State,BDY,43.11667,-124.416664,America/Los_Angeles,Bandon
BEC,Beech,ICT,37.683334,-97.333336,America/Chicago,Wichita
CEA,Cessna Aircraft Field,ICT,37.7,-97.333336,America/Chicago,Wichita
IAB,Mcconnell AFB,ICT,37.68114,-97.27617,America/Chicago,Wichita
ICT,Mid-Continent,ICT,37.653046,-97.428955,America/Chicago,Wichita
BED,Hanscom Field,BED,42.470833,-71.29,America/New_York,Bedford
BEH,Ross Field,BEH,42.127777,-86.42833,America/Detroit,Benton Harbor
BET,Bethel Airport,BET,60.784443,-161.83139,America/Anchorage,Bethel
JBT,City Landing,BET,60.8,-161.75,America/Anchorage,Bethel
BFB,Blue Fox Bay,BFB,58.183334,-152.13333,America/Anchorage,Blue Fox Bay
BFD,Bradford,BFD,41.802223,-78.63944,America/New_York,Bradford
BFF,Western Neb. Regional,BFF,41.87528,-103.60111,America/Denver,Scottsbluff
BFG,Bullfrog Basin,BFG,37.545834,-110.71333,America/Denver,Bullfrog Basin
BFI,Boeing Field/King County International Airport,SEA,47.5371,-122.3037,America/Los_Angeles,Seattle
LKE,Kenmore Air Harbor SPB,SEA,47.6275,-122.331665,America/Los_Angeles,Seattle
SEA,Seattle-Tacoma International,SEA,47.44384,-122.301735,America/Los_Angeles,Seattle
BFL,Meadows Field,BFL,35.429626,-119.04533,America/Los_Angeles,Bakersfield
BFM,Mobile Downtown,MOB,30.683332,-88.23333,America/Chicago,Mobile
MOB,Mobile Regional Airport,MOB,30.681086,-88.24475,America/Chicago,Mobile
BFP,Beaver Falls,BFP,40.766666,-80.4,America/New_York,Beaver Falls
BFR,Virgil I Grissom Municipalcipal,BFR,38.86667,-86.48333,America/Indiana/Indianapolis,Bedford
BFT,County,BFT,32.41083,-80.635,America/New_York,Beaufort
BGD,Borger,BGD,35.65,-101.4,America/Chicago,Borger
BGE,Decatur County,BGE,30.916668,-84.583336,America/New_York,Bainbridge
BGM,Greater Binghamton,BGM,42.208534,-75.98294,America/New_York,Binghamton
BGQ,Big Lake,BGQ,31.2,-101.46667,America/Anchorage,Big Lake
BGR,Bangor International Airport,BGR,44.812298,-68.82102,America/New_York,Bangor
BGS,Webb AFB,HCA,32.385555,-101.48333,America/Chicago,Big Spring
HCA,Howard County,HCA,32.30361,-101.43389,America/Chicago,Big Spring
BGT,Bagdad,BGT,34.566666,-113.183334,America/Phoenix,Bagdad
BHB,Bar Harbor,BHB,44.44889,-68.361664,America/New_York,Bar Harbor
BHM,Birmingham,BHM,33.560833,-86.75219,America/Chicago,Birmingham
BIC,Big Creek,BIC,58.3,-157.51666,America/Sitka,Big Creek
BID,Block Island,BID,41.169434,-71.57961,America/New_York,Block Island
BIE,Beatrice,BIE,40.3,-96.75,America/Chicago,Beatrice
BIF,Biggs AAF,ELP,31.75,-106.48333,America/Denver,El Paso
ELP,El Paso International Airport,ELP,31.798948,-106.396,America/Denver,El Paso
BIG,Intermediate Field,BIG,64.06778,-145.73277,America/Anchorage,Big Delta
BIH,Bishop,BIH,37.373333,-118.365,America/Los_Angeles,Bishop
BIL,Billings,BIL,45.803417,-108.53723,America/Denver,Billings
BIS,Bismarck,BIS,46.77448,-100.75821,America/Chicago,Bismarck
BIX,Keesler AFB,BIX,30.4,-88.88333,America/Chicago,Biloxi
BJC,Jeffco,BJC,39.933334,-105.066666,America/Denver,Broomfield
BJI,Bemidji,BJI,47.509724,-94.93472,America/Chicago,Bemidji
BJJ,Wayne County,BJJ,40.8,-81.933334,America/New_York,Wooster
BKC,Buckland,BKC,65.97889,-161.12666,America/Anchorage,Buckland
BKD,Stephens County,BKD,32.75,-98.9,America/Chicago,Breckenridge
BKE,Baker,BKE,44.838333,-117.81,America/Los_Angeles,Baker
BKF,Lake Brooks SPB,BKF,58.6,-156.23334,America/Anchorage,Katmai National Park
BKG,Branson,BKG,36.53208,-93.20055,America/Chicago,Branson
BKH,Barking Sands PMRF,BKH,21.966667,-159.71666,Pacific/Honolulu,Kekaha
BKL,Burke Lakefront,CLE,41.516945,-81.683334,America/New_York,Cleveland
CGF,Cuyahoga County,CLE,41.5525,-81.48389,America/New_York,Cleveland
CLE,Hopkins International,CLE,41.410854,-81.83821,America/New_York,Cleveland
BKT,Blackstone AAF,BKT,37.066666,-78,America/New_York,Blackstone
BKW,Beckley,BKW,37.781944,-81.12417,America/New_York,Beckley
BKX,Brookings,BKX,44.303333,-96.81111,America/Chicago,Brookings
BLD,Boulder City,LAS,35.983334,-114.833336,America/Los_Angeles,Las Vegas
HSH,Henderson Executive,LAS,35.968334,-115.11916,America/Los_Angeles,Las Vegas
LAS,Mc Carran International,LAS,36.086945,-115.1486,America/Los_Angeles,Las Vegas
LSV,Nellis AFB,LAS,36.3,-115.8,America/Los_Angeles,Las Vegas
VGT,North Air Terminal,LAS,36.09667,-115.16889,America/Los_Angeles,Las Vegas
BLF,Princeton,BLF,37.295834,-81.20805,America/New_York,Princeton
BLH,Blythe,BLH,33.620834,-114.71889,America/Los_Angeles,Blythe
BLI,Bellingham,BLI,48.795734,-122.53267,America/Los_Angeles,Bellingham
BLM,Monmouth Executive Airport,BLM,40.183334,-74.01667,America/New_York,Belmar - Farmingdale
BLU,Blue Canyon,BLU,39.25,-120.71667,America/Los_Angeles,Blue Canyon
BLV,Belleville,BLV,38.65178,-89.85183,America/Chicago,Belleville
BMC,Brigham City,BMC,41.549168,-112.062225,America/Denver,Brigham City
BMG,Bloomington,BMG,39.14,-86.61472,America/Indiana/Indianapolis,Bloomington
BMI,Central Illinois Regional Airport at Bloomington-Normal,BMI,40.48401,-88.91483,America/Chicago,Bloomington
BML,Berlin Municipal Airport,BML,44.574722,-71.17639,America/New_York,Berlin
BMT,Beaumont Municipalcipal,BPT,30.083332,-94.1,America/Chicago,Beaumont
BPT,Jefferson County,BPT,29.950832,-94.02,America/Chicago,Beaumont
BMX,Big Mountain,BMX,59.361942,-155.25667,America/Anchorage,Big Mountain
BNA,Nashville International,BNA,36.13174,-86.668945,America/Chicago,Nashville
BNF,Warm Spring Bay SPB,BNF,57,-135,America/Sitka,Baranof
BNG,Banning,BNG,33.933334,-116.86667,America/Los_Angeles,Banning
BNH,Barnes,HFD,41.766666,-72.683334,America/New_York,Hartford
HFD,Brainard,HFD,41.733055,-72.65,America/New_York,Hartford
ZRT,Hartford  Railway,HFD,41.7637111,-72.6850932,America/New_York,Hartford
BNL,Barnwell Regional,BNL,33.25,-81.38333,America/New_York,Barnwell
BNO,Burns,BNO,43.583332,-118.95,America/Los_Angeles,Burns
BNW,Boone,BNW,42.066666,-93.88333,America/Chicago,Boone
BOF,Bolling AFB,WAS,38.9,-77.03333,America/New_York,Washington
DCA,Ronald Reagan Washington National Airport,WAS,38.853436,-77.04346,America/New_York,Washington
IAD,Washington Dulles International,WAS,38.95315,-77.44774,America/New_York,Washington
JPN,Pentagon Army,WAS,38.766666,-77.066666,America/New_York,Washington
ZRZ,New Carrolton RR,WAS,38.8951118,-77.0363658,America/New_York,Washington
ZWU,Washington Union Railway Station,WAS,38.8951118,-77.0363658,America/New_York,Washington
BOI,Boise Air Terminal/Gowen Field,BOI,43.569263,-116.22193,America/Boise,Boise
BOK,Brookings State,BOK,42.05,-124.28333,America/Los_Angeles,Brookings
BOS,Logan International,BOS,42.36646,-71.02018,America/New_York,Boston
JBC,Boston City Heliport,BOS,42.343887,-71.049446,America/New_York,Boston
PSM,Pease International,BOS,43.179585,-70.88272,America/New_York,Boston
ZRU,Boston RT128 Railway,BOS,42.3584308,-71.0597732,America/New_York,Boston
ZTO,Boston South Railway,BOS,42.3584308,-71.0597732,America/New_York,Boston
ZTY,Boston BKBAY Railway,BOS,42.3584308,-71.0597732,America/New_York,Boston
BOW,Bartow,BOW,27.9,-81.833336,America/New_York,Bartow
BPI,Big Piney-marbleton,BPI,42.533333,-110.11667,America/Denver,Big Piney
BQK,Glynco Jetport,SSI,31.166668,-81.48333,America/New_York,Brunswick
SSI,Malcolm Mckinnon,SSI,31.165916,-81.46347,America/New_York,Brunswick
BQV,Bartlett SPB,GST,58.416668,-135.73334,America/Juneau,Gustavus
GST,Gustavus Airport,GST,58.4275,-135.705,America/Juneau,Gustavus
BRD,Brainerd Lakes Regional,BRD,46.39722,-94.1375,America/Chicago,Brainerd
BRL,Burlington,BRL,40.78611,-91.12334,America/Chicago,Burlington
BRO,South Padre Is. International,BRO,25.90889,-97.42333,America/Chicago,Brownsville
BRW,Wiley Post/W.Rogers M,BRW,71.288574,-156.77579,America/Anchorage,Barrow
PBA,Point Barrow,BRW,71.28333,-156.76666,America/Anchorage,Barrow
BRY,Samuels Field,BRY,37.816666,-85.46667,America/New_York,Bardstown
BSF,Bradshaw AAF,BSF,21.383333,-157.75,Pacific/Honolulu,Pohakuloa
BSI,Blairsville,BSI,40.45,-79.28333,America/New_York,Blairsville
BSQ,Bisbee Municipal Airport,BSQ,31.36389,-109.88111,America/Phoenix,Bisbee
BSW,Boswell Bay,BSW,60.4,-146.13333,America/Anchorage,Boswell Bay
BSZ,Bartletts,BSZ,58.233612,-157.35028,America/Anchorage,Bartletts
BTF,Salt Lake Skypark,BTF,40.88333,-111.88333,America/Denver,Bountiful
BTI,Barter Island,BTI,70.13472,-143.57834,America/Anchorage,Barter Island
BTL,WK Kellogg Regional,BTL,42.37278,-85.26481,America/Detroit,Battle Creek
BTM,Bert Mooney Airport,BTM,45.95111,-112.49389,America/Denver,Butte
BTN,Bennettsville,BTN,34.61667,-79.683334,America/New_York,Bennettsville
BTP,Butler County - Kenny Scholter Field,BTP,40.85,-79.916664,America/New_York,Butler
BTR,Ryan,BTR,30.532537,-91.156906,America/Chicago,Baton Rouge
EBR,Downtown,BTR,30.45,-91.183334,America/Chicago,Baton Rouge
BTT,Bettles,BTT,66.915276,-151.52638,America/Anchorage,Bettles
BTV,Burlington International,BTV,44.469013,-73.15527,America/New_York,Burlington
BTY,Beatty,BTY,36.9,-116.76667,America/Los_Angeles,Beatty
BUB,Municipal,BUB,41.783333,-99.13333,America/Chicago,Burwell
BUF,Buffalo Niagara International,BUF,42.933826,-78.731804,America/New_York,Buffalo
ZFZ,Buffalo Depew Rr,BUF,42.8864468,-78.8783689,America/New_York,Buffalo
ZXS,Exchangest Railway,BUF,42.8864468,-78.8783689,America/New_York,Buffalo
BUM,Butler,BUM,38.266666,-94.333336,America/Chicago,Butler
BUR,Bob Hope,BUR,34.19619,-118.35411,America/Los_Angeles,Burbank
BVD,Sea Port,BVD,53.733334,-166.31667,America/Nome,Beaver Inlet
BVO,Bartlesville,BVO,36.7625,-96.01083,America/Chicago,Bartlesville
BVU,Beluga,BVU,61.169445,-151.03612,America/Anchorage,Beluga
BVX,Municipal,BVX,35.766666,-91.65,America/Chicago,Batesville
BVY,Beverly Municipal Airport,BVY,42.55,-70.88333,America/New_York,Beverly
BWC,Brawley,BWC,32.983334,-115.51667,America/Los_Angeles,Brawley
BWD,Brownwood,BWD,31.794722,-98.956665,America/Chicago,Brownwood
BWG,Warren County,BWG,36.962223,-86.42222,America/Chicago,Bowling Green
BWI,Baltimore/Washington International Thurgood Marshall,BWI,39.179527,-76.66894,America/New_York,Baltimore
GBO,Baltimore Greenbelt T,BWI,39.266666,-76.75,America/New_York,Baltimore
